eventID;samplingProtocol;occurrenceID;recordedBy;individualCount;summaryIndividualCount;sex;lifestage;occurrenceStatus;type;basisOfRecord;identifiedBy;scientificName;kingdom;phylum;class;taxonRank;scientificNameAuthorship;vernacularName;nomenclaturalCode
INBO:NBN:BFN00179000036WB;observation;INBO:NBN:BFN001790000A4IQ;BFN001790000056L;1;"""Onbekend"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000004L;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000036YK;observation;INBO:NBN:BFN001790000A4L9;BFN00179000000EO;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN00179000000EO;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036Y3;observation;INBO:NBN:BFN001790000A4KS;BFN00179000004PO;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN00179000004PO;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036YI;observation;INBO:NBN:BFN001790000A4L7;BFN00179000004PO;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN00179000004PO;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN0017900002R4D;observation;INBO:NBN:BFN0017900009DO7;BFN0017900000542;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000542;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900002R4E;observation;INBO:NBN:BFN0017900009DO8;BFN0017900000542;1;"""Adult"":1";NULL;"{""adult"":1}";present;Event;HumanObservation;BFN0017900000542;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900002R4F;observation;INBO:NBN:BFN0017900009DO9;BFN0017900000542;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000542;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900002R4G;observation;INBO:NBN:BFN0017900009DOA;BFN0017900000543;2;"""Geit"":1, ""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000543;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900002R4H;observation;INBO:NBN:BFN0017900009DOB;BFN0017900000543;3;"""None"":1, ""Adult"":1, ""Adult"":1";NULL;"{""adult"":1, ""adult"":1}";present;Event;HumanObservation;BFN0017900000543;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN0017900002R4I;observation;INBO:NBN:BFN0017900009DOC;BFN0017900000543;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000543;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000036Y8;observation;INBO:NBN:BFN001790000A4KX;BFN0017900000544;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000544;Capreolus capreolus;Animalia;Chordata;Mammalia;species;(Linnaeus, 1758);Ree;ICZN
INBO:NBN:BFN00179000036WW;shooting;INBO:NBN:BFN001790000A4JD;BFN0017900000544;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000544;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000036XC;observation;INBO:NBN:BFN001790000A4JY;BFN0017900000544;1;"""Bok"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000544;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN00179000031BY;observation;INBO:NBN:BFN0017900009UKG;BFN0017900000563 | BFN0017900000564;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000563;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN001790000359W;observation;INBO:NBN:BFN0017900009ZHF;BFN0017900000565;1;"""None"":1";NULL;NULL;present;Event;HumanObservation;BFN0017900000565;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
INBO:NBN:BFN001790000364Z;observation;INBO:NBN:BFN001790000A1NV;BFN001790000056A;1;"""Geit"":1";NULL;NULL;present;Event;HumanObservation;BFN001790000056A;Muntiacus reevesii;Animalia;Chordata;Mammalia;species;NULL;Chinese muntjak;ICZN
