"UniqueID";"TaxonomicGroup";"YearPublished";"Kingdom";"SpeciesnameAsPublished";"SpeciesnameDutch";"RLCAsPublished";"RLC";"RLCEurope";"Criteria";"Reference"
"INBO:RL:NONVAL:AMP:1996:1";"Amphibians";1996;"Animalia";"Alytes obstetricans";"Vroedmeesterpad";"Bedreigd";"EN";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:10";"Amphibians";1996;"Animalia";"Salamandra salamandra";"Vuursalamander";"Kwetsbaar";"VU";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:11";"Amphibians";1996;"Animalia";"Triturus alpestris";"Alpenwatersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:12";"Amphibians";1996;"Animalia";"Triturus cristatus";"Kamsalamander";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:13";"Amphibians";1996;"Animalia";"Triturus helveticus";"Vinpootsalamander";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:14";"Amphibians";1996;"Animalia";"Triturus vulgaris";"Kleine watersalamander";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:2";"Amphibians";1996;"Animalia";"Bombina variegata";"Geelbuikvuurpad";"Uitgestorven in Vlaanderen";"RE";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:3";"Amphibians";1996;"Animalia";"Bufo bufo";"Gewone pad";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:4";"Amphibians";1996;"Animalia";"Bufo calamita";"Rugstreeppad";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:5";"Amphibians";1996;"Animalia";"Hyla arborea";"Boomkikker";"Met uitsterven bedreigd";"CR";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:6";"Amphibians";1996;"Animalia";"Pelobates fuscus";"Knoflookpad";"Bedreigd";"EN";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:7";"Amphibians";1996;"Animalia";"Rana arvalis";"Heikikker";"Zeldzaam";"NT";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:8";"Amphibians";1996;"Animalia";"Rana esculenta synklepton";"Groene kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:AMP:1996:9";"Amphibians";1996;"Animalia";"Rana temporaria";"Bruine kikker";"Momenteel niet bedreigd";"LC";"LC";"Regional";"BauwensClaus_1996"
"INBO:RL:NONVAL:ANT:2013:31";"Ants";2003;"Animalia";"Anergates atratulus";"Woekermier";"Met uitsterven bedreigd";"CR";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:33";"Ants";2003;"Animalia";"Formica cunicularia";"Bruine renmier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:34";"Ants";2003;"Animalia";"Formica fusca";"Grauwzwarte mier";"Momenteel niet bedreigd";"LC";;"Regional";"Dekoninck_etal_2003"
"INBO:RL:NONVAL:ANT:2013:35";"Ants";2003;"Animalia";"Formica lusatica";"Duinrenmier";"Bedreigd maar mate waarin ongekend";"DD(PT)";;"Regional";"Dekoninck_etal_2003"
